artist.hotttnesss,artist.name,duration,end_of_fade_in,familiarity,key,loudness,mode,release.id,release.name,tempo,terms,time_signature,title,year
0.401997543,Casual,218.93179,0.247,0.581793766,1,-11.197,0,300848,Fear Itself,92.198,hip hop,4,I Didn't Mean To,0
0.417499645,The Box Tops,148.03546,0.148,0.630630038,6,-9.843,0,300822,Dimensions,121.274,blue-eyed soul,4,Soul Deep,1969
0.343428378,Sonora Santanera,177.47546,0.282,0.487356791,8,-9.689,1,514953,Las Numero 1 De La Sonora Santanera,100.07,salsa,1,Amor De Cabaret,0
0.454231157,Adam Ant,233.40363,0,0.630382334,0,-9.013,1,287650,Friend Or Foe,119.293,pop rock,4,Something Girls,1982
0.401723686,Gob,209.60608,0.066,0.651045661,2,-4.501,1,611336,Muertos Vivos,129.738,pop punk,4,Face the Ashes,2007
0.385470551,Jeff And Sheri Easter,267.7024,2.264,0.535292736,5,-9.323,1,41838,Ordinary Day,147.782,southern gospel,3,The Moon And I (Ordinary Day Album Version),0
0.261941177,Rated R,114.78159,0.096,0.556495602,1,-17.302,1,25824,Da Ghetto Psychic,111.787,breakbeat,1,Keepin It Real (Skit),0
0.605507136,Tweeterfriendly Music,189.57016,0.319,0.801136447,4,-11.642,0,8876,Gin & Phonic,101.43,post-hardcore,3,Drop of Rain,0
0.332275747,Planet P Project,269.81832,5.3,0.426667857,4,-13.496,1,358182,Pink World,86.643,new wave,4,Pink World,1984
0.422705641,Clp,266.39628,0.084,0.550513698,7,-6.697,0,692313,Superinstrumental,114.041,breakcore,4,Insatiable (Instrumental Version),0
0.296268954,JennyAnyKind,218.77506,2.125,0.360031167,5,-10.021,0,539081,I Need You,146.765,alternative rock,1,Young Boy Blues,0
0.351555861,Wayne Watson,245.21098,0.357,0.545159296,7,-7.545,1,163874,The Way Home,117.975,ccm,4,The Urgency (LP Version),0
0.37948217,Andy Andy,226.35057,0,0.577508974,9,-6.632,1,575792,Placer & Castigo,130.04,bachata,4,La Culpa,0
0.251936525,Bob Azzam,191.84281,0.38,0.085512047,10,-7.75,0,815863,Arrivederci,137.334,chanson,1,Auguri Cha Cha,0
0.553071992,Lionel Richie,307.3824,0.612,0.776675856,3,-8.346,1,25811,Dancing On The Ceiling,125.197,quiet storm,3,Tonight Will Be Alright,1986
0.447935481,Blue Rodeo,491.12771,0,0.636423645,7,-8.576,1,135122,Outskirts,119.826,country rock,4,Floating,1987
0.330806357,Richard Souther,228.5971,0.223,0.419943148,8,-16.11,1,149958,Cross Currents,127.756,chill-out,5,High Tide,0
0.306676094,Faiz Ali Faiz,599.24853,1.193,0.363280571,6,-8.032,1,535188,Panjtan Ka Ghulam,99.273,qawwali,4,Sohna Nee Sohna Data,0
0.51346329,Tesla,290.29832,0.145,0.707199764,7,-5.271,1,372309,Gold,150.062,hard rock,4,Caught In A Dream,2004
0,lextrical,165.69424,0.162,0.32031437,7,-6.787,1,541101,Whatever Happened To Boredom?,138.331,indietronica,4,Synthetic Dream,0
0.291539727,Jimmy Wakely,151.84934,2.827,0.39413854,1,-15.221,1,605134,1942-1952 Jimmy Wakely,86.186,classic country,3,Broken-Down Merry-Go-Round,0
0.328553015,Alice Stuart,220.78649,0.206,0.489816269,11,-8.514,1,239740,All The Good Times,110.382,electric blues,1,Kassie Jones,0
0.378254686,Elena,269.58322,0,0.677420465,2,-8.05,1,386995,Un cafe_ setanta matins,111.874,uk garage,4,Setanta matins,0
0.541888972,The Dillinger Escape Plan,207.77751,0.061,0.839962768,7,-4.264,1,223365,Miss Machine,166.862,math-core,4,Setting Fire to Sleeping Giants,2004
0.306242264,SUE THOMPSON,124.86485,0,0.435415818,10,-12.332,1,652784,Sue Thompson - Her Very Best,137.522,pop rock,4,James (Hold The Ladder Steady),1985
0.363651365,Five Bolt Main,225.09669,0,0.6090637,7,-5.908,1,45730,Live,164.672,post-grunge,1,Made Like This (Live),0
0.422705641,Clp,338.31138,0,0.550513698,6,-6.486,0,672016,Strictly Confidential,125.006,breakcore,4,Superconfidential,0
